,name,language,activity,developer_count,issue_comment,open_issue,open_pull,pull_review_comment,merge_pull,pull_commits,pull_additions,pull_deletions
1,pingcap/pd,Go,9414.83,121,59879,4604,9648,33445,8995,42120,1133254,702907
2,ant-design/ant-design,TypeScript,8037.9,3778,32012,3235,2762,3263,2336,9650,629423,355941
3,PaddlePaddle/Paddle,Python,5254.59,971,15323,1815,5496,9463,4092,18204,692377,245237
4,pingcap/tidb,Go,4303.03,482,52993,2686,4952,10914,3998,26768,854702,153178
5,NervJS/taro,JavaScript,3647.32,1642,9338,1742,812,132,601,1557,396412,316692
6,apache/shardingsphere,Java,2845.88,791,9054,1536,3186,1852,2936,26392,808406,603856
7,alibaba/nacos,Java,2772.49,1224,7042,1221,647,766,494,3809,458299,254454
8,ant-design/ant-design-pro,TypeScript,2770.43,1377,6489,1369,208,113,113,264,4980,3575
9,apache/incubator-tvm,Python,2669.97,356,7956,354,2049,8449,1832,7522,487038,276057
10,ElemeFE/element,Vue,2513.61,1718,4982,555,119,7,22,33,486,471
