,name,language,activity,developer_count,issue_comment,open_issue,open_pull,pull_review_comment,merge_pull,pull_commits,pull_additions,pull_deletions
1,flutter/flutter,Dart,35023.34,16898,126262,14638,7108,18399,4868,20980,779528,403104
2,microsoft/vscode,TypeScript,27191.5,14296,99154,16060,1786,1736,1358,5038,165122,104601
3,MicrosoftDocs/azure-docs,PowerShell,23776.38,9532,85494,11474,3045,856,1815,3089,12992,8586
4,home-assistant/core,Python,22620.81,8297,76101,5345,7730,30508,6574,33639,1120715,484138
5,tensorflow/tensorflow,C++,21538.03,9755,62915,6171,2903,7897,2148,6364,241553,67471
6,kubernetes/kubernetes,Go,19734.97,6150,234941,3580,6760,30617,4715,6586,1311188,722712
7,NixOS/nixpkgs,Nix,18527.81,3071,84061,4319,19403,30150,16007,38205,1008168,645353
8,pytorch/pytorch,C++,14450.56,4881,67893,4836,11516,38133,336,675,40085,19724
9,dotnet/runtime,C#,13968.97,3753,81722,6960,7404,39926,6403,26466,1902804,1112742
10,DefinitelyTyped/DefinitelyTyped,TypeScript,13260.95,4136,52942,533,6272,6377,5350,13453,1108590,713175
