,0,1,2
1,2503645,1,0
2,2949064,1,1
3,3235594,1,2
4,3178323,1,3
5,2792247,1,4
6,3014462,1,5
7,3570939,1,6
8,3966918,1,7
9,4344418,1,8
10,4584728,1,9
11,4273049,1,10
12,4150696,1,11
13,4499865,1,12
14,4987938,1,13
15,5281928,1,14
16,5215192,1,15
17,4889089,1,16
18,4684667,1,17
19,4578212,1,18
20,4499120,1,19
21,4477255,1,20
22,4139059,1,21
23,3638607,1,22
24,3199084,1,23
25,3123405,2,0
26,3426784,2,1
27,3603249,2,2
28,3458860,2,3
29,2983391,2,4
30,3147634,2,5
31,3743041,2,6
32,4085055,2,7
33,4491492,2,8
34,4738180,2,9
35,4397493,2,10
36,4273738,2,11
37,4589506,2,12
38,4989244,2,13
39,5277016,2,14
40,5274097,2,15
41,4987336,2,16
42,4795167,2,17
43,4627118,2,18
44,4567509,2,19
45,4526731,2,20
46,4257116,2,21
47,3722287,2,22
48,3247187,2,23
49,3157914,3,0
50,3418646,3,1
51,3545072,3,2
52,3414787,3,3
53,2919908,3,4
54,3086082,3,5
55,3674410,3,6
56,4022765,3,7
57,4413688,3,8
58,4687245,3,9
59,4362694,3,10
60,4179937,3,11
61,4507490,3,12
62,4925789,3,13
63,5193401,3,14
64,5245574,3,15
65,4946590,3,16
66,4652161,3,17
67,4505747,3,18
68,4457311,3,19
69,4409506,3,20
70,4118367,3,21
71,3621615,3,22
72,3223585,3,23
73,3159873,4,0
74,3404773,4,1
75,3548455,4,2
76,3402835,4,3
77,2918337,4,4
78,3119701,4,5
79,3658266,4,6
80,4012704,4,7
81,4251120,4,8
82,4483303,4,9
83,4210123,4,10
84,4082671,4,11
85,4401862,4,12
86,4889535,4,13
87,5085117,4,14
88,5068500,4,15
89,4758733,4,16
90,4560305,4,17
91,4354749,4,18
92,4280154,4,19
93,4221807,4,20
94,3882830,4,21
95,3371539,4,22
96,3055229,4,23
97,2982589,5,0
98,3171292,5,1
99,3329075,5,2
100,3190709,5,3
101,2749464,5,4
102,2901830,5,5
103,3437393,5,6
104,3821092,5,7
105,4190992,5,8
106,4407651,5,9
107,4082802,5,10
108,3830427,5,11
109,4131626,5,12
110,4586719,5,13
111,4863244,5,14
112,4883269,5,15
113,4535111,5,16
114,4290333,5,17
115,4075855,5,18
116,3881314,5,19
117,3769417,5,20
118,3523995,5,21
119,3087870,5,22
120,2646165,5,23
121,2417886,6,0
122,2321299,6,1
123,2307614,6,2
124,2291371,6,3
125,2109730,6,4
126,2100146,6,5
127,2239452,6,6
128,2334473,6,7
129,2435425,6,8
130,2544285,6,9
131,2450888,6,10
132,2463954,6,11
133,2659089,6,12
134,2874841,6,13
135,3062366,6,14
136,3153251,6,15
137,3101522,6,16
138,3032481,6,17
139,2885230,6,18
140,2764701,6,19
141,2674210,6,20
142,2508605,6,21
143,2298238,6,22
144,2061794,6,23
145,2005588,7,0
146,2048925,7,1
147,2124551,7,2
148,2147178,7,3
149,2057609,7,4
150,2040745,7,5
151,2132622,7,6
152,2242879,7,7
153,2378812,7,8
154,2486929,7,9
155,2502185,7,10
156,2571017,7,11
157,2796711,7,12
158,3040545,7,13
159,3211282,7,14
160,3284325,7,15
161,3170574,7,16
162,3100906,7,17
163,3041760,7,18
164,3024325,7,19
165,2962630,7,20
166,2822903,7,21
167,2583783,7,22
168,2367517,7,23
