,actor_id,time_zone
0,17,5
1,47,3
2,69,4
3,76,0
4,80,-8
5,108,-8
6,132,-2
7,134,-2
8,139,-1
9,141,6
10,188,-8
11,198,6
12,211,-8
13,215,-4
14,217,4
15,233,7
16,278,1
17,292,-8
18,300,6
19,318,-2
20,353,-8
21,354,3
22,410,-8
23,415,-2
24,420,-2
25,461,-3
26,500,-5
27,563,-8
28,579,-8
29,618,1
30,634,-1
31,640,3
32,658,3
33,680,7
34,752,5
35,772,3
36,797,4
37,806,-3
38,842,-2
39,886,-8
40,887,-2
41,939,-8
42,956,2
43,988,-8
44,990,5
45,1000,-3
46,1051,-2
47,1060,-5
48,1066,-4
49,1074,-2
50,1075,0
51,1090,-8
52,1106,0
53,1134,0
54,1151,-8
55,1181,-8
56,1212,-8
57,1246,3
58,1270,-8
59,1299,6
60,1377,5
61,1388,-5
62,1391,-8
63,1472,-8
64,1510,-3
65,1514,-1
66,1541,3
67,1553,-8
68,1585,-8
69,1589,-8
70,1610,-2
71,1664,-8
72,1694,3
73,1739,4
74,1802,-4
75,1850,-8
76,1880,1
77,1894,-8
78,1918,-8
79,1929,-3
80,1930,3
81,1938,3
82,1945,-8
83,1963,4
84,1968,0
85,1976,-8
86,2016,5
87,2040,-1
88,2066,-5
89,2129,-8
90,2130,2
91,2208,3
92,2214,2
93,2221,10
94,2242,-8
95,2289,-8
96,2300,3
97,2305,-8
98,2320,-8
99,2338,-8
100,2373,-5
101,2391,6
102,2438,-1
103,2458,-3
104,2498,2
105,2567,5
106,2571,1
107,2621,4
108,2627,-3
109,2630,-8
110,2644,-4
111,2650,-3
112,2669,7
113,2743,5
114,2767,-2
115,2819,-4
116,2876,3
117,2882,6
118,2911,2
119,2926,-2
120,2951,3
121,2993,-5
122,3009,-8
123,3032,0
124,3044,5
125,3066,4
126,3124,6
127,3129,6
128,3134,-8
129,3139,3
130,3150,-6
131,3204,-4
132,3248,-3
133,3250,2
134,3252,3
135,3303,3
136,3308,0
137,3309,-5
138,3331,4
139,3341,2
140,3346,-3
141,3397,11
142,3487,1
143,3548,-8
144,3556,3
145,3557,-7
146,3563,-8
147,3565,-2
148,3642,-3
149,3664,-8
150,3741,5
151,3782,-3
152,3846,3
153,3856,-8
154,3889,-4
155,3899,-8
156,3959,-8
157,3967,-8
158,3986,-2
159,3998,1
160,4018,5
161,4060,3
162,4085,-8
163,4121,6
164,4142,1
165,4196,-8
166,4205,1
167,4228,-8
168,4251,-5
169,4306,5
170,4346,-8
171,4361,-8
172,4365,2
173,4383,0
174,4483,-8
175,4606,-8
176,4646,-2
177,4727,3
178,4804,2
179,4856,-2
180,4862,2
181,4872,6
182,4903,4
183,4938,5
184,4953,-8
185,4963,-8
186,4967,-6
187,4970,-8
188,5102,-1
189,5180,-8
190,5213,-8
191,5216,-3
192,5264,-8
193,5271,-2
194,5310,-8
195,5316,4
196,5336,7
197,5387,-2
198,5409,-1
199,5517,-8
200,5518,-8
201,5520,-8
202,5572,-3
203,5587,2
204,5636,11
205,5640,5
206,5709,-8
207,5726,-8
208,5750,4
209,5778,-4
210,5865,-2
211,5978,-8
212,6028,0
213,6160,-4
214,6163,-2
215,6180,-8
216,6193,-3
217,6235,-8
218,6321,-8
219,6379,3
220,6401,3
221,6413,-8
222,6473,-8
223,6508,-8
224,6642,5
225,6753,-8
226,6843,-8
227,6915,-2
228,6916,-3
229,6941,-8
230,6942,-2
231,6944,-3
232,7001,-8
233,7042,-8
234,7060,0
235,7074,-8
236,7130,5
237,7156,-2
238,7167,3
239,7171,-8
240,7215,-2
241,7288,-8
242,7371,5
243,7396,-3
244,7414,-4
245,7477,4
246,7529,-3
247,7541,-3
248,7553,-2
249,7574,5
250,7607,-3
251,7659,-2
252,7718,-1
253,7740,2
254,7757,-8
255,7821,-8
256,7842,-8
257,7911,-4
258,7935,-8
259,8034,-8
260,8048,-8
261,8110,-5
262,8132,-8
263,8207,2
264,8210,-8
265,8245,1
266,8392,-8
267,8448,4
268,8463,6
269,8467,-6
270,8552,-8
271,8558,-3
272,8625,-4
273,8635,-2
274,8654,-3
275,8706,-2
276,8782,3
277,8851,-8
278,8886,-8
279,8911,4
280,8965,4
281,9030,-5
282,9213,2
283,9230,-8
284,9287,6
285,9332,-6
286,9367,4
287,9451,-8
288,9466,-3
289,9541,-8
290,9582,-8
291,9599,-8
292,9611,4
293,9766,-8
294,9827,1
295,9868,-2
296,9912,3
297,9917,-8
298,9965,0
299,9973,5
300,10019,-4
301,10111,-8
302,10135,-8
303,10144,-8
304,10181,3
305,10217,-7
306,10246,-1
307,10247,-3
308,10255,-3
309,10311,5
310,10401,-8
311,10473,0
312,10544,-8
313,10602,-5
314,10621,-4
315,10666,-8
316,10738,-8
317,10764,-2
318,10812,3
319,10818,-1
320,10819,-4
321,10871,-4
322,10898,-4
323,10998,-8
324,10999,-6
325,11074,2
326,11238,-8
327,11307,-3
328,11350,-12
329,11367,3
330,11398,2
331,11399,5
332,11417,5
333,11428,-8
334,11438,-3
335,11484,0
336,11512,-7
337,11521,-8
338,11544,-8
339,11753,-4
340,11840,-8
341,11857,-8
342,11865,-8
343,11869,-8
344,11875,5
345,11917,0
346,11976,-8
347,12029,4
348,12052,-8
349,12124,-8
350,12192,-8
351,12266,-8
352,12283,-3
353,12301,-8
354,12312,4
355,12428,-2
356,12431,-8
357,12435,-2
358,12539,-8
359,12553,-8
360,12568,-3
361,12575,-8
362,12637,2
363,12642,-8
364,12690,-2
365,12717,-8
366,12833,-3
367,13122,-8
368,13203,-8
369,13220,-4
370,13300,-4
371,13301,3
372,13312,-4
373,13315,-8
374,13387,-2
375,13400,4
376,13551,-4
377,13564,2
378,13700,-8
379,13717,7
380,13725,-5
381,13743,-8
382,13838,-3
383,13877,-5
384,13969,-3
385,13994,6
386,14009,-8
387,14021,-3
388,14093,3
389,14097,7
390,14173,-8
391,14387,-8
392,14461,3
393,14539,-3
394,14548,-1
395,14610,-3
396,14639,6
397,14649,3
398,14798,2
399,14884,3
400,14922,7
401,14999,-8
402,15027,-8
403,15092,-8
404,15182,4
405,15233,-8
406,15487,-8
407,15545,-8
408,15551,-8
409,15609,-3
410,15615,3
411,15655,-4
412,15715,3
413,15719,2
414,15725,-8
415,15763,-3
416,15836,-3
417,15895,-8
418,15952,-8
419,16191,-8
420,16415,-8
421,16508,4
422,16509,-8
423,16559,-8
424,16577,-8
425,16649,-4
426,16672,-8
427,16700,-8
428,16758,5
