,actor_login,activity,participantrepocount,issue_comment,open_issue,open_pull,pull_review_comment,merge_pull,pull_commits,pull_additions,pull_deletions
1,dependabot-preview[bot],9490589,34076,812560,14773,1628891,0,752362,787527,35039466,29476838
2,renovate[bot],2513755,6685,37802,921,349172,0,285319,298331,20170110,17197626
3,dependabot[bot],2133584,133049,273355,0,514618,0,63275,66538,11238369,7232959
4,greenkeeper[bot],1800414,14990,828664,50134,158314,0,79308,155619,8232866,7279995
5,github-learning-lab[bot],1078618,84369,410755,146460,43125,15142,37000,114974,1520350,259563
6,pyup-bot,720014,2349,101965,220,151703,0,32500,51882,89240,88026
7,codecov[bot],528896,15916,528896,0,0,0,0,0,0,0
8,codacy-bot,312084,887,33284,296,0,69552,0,0,0,0
9,openshift-ci-robot,300432,325,299856,0,0,144,0,0,0,0
10,k8s-ci-robot,289707,234,287423,0,242,102,230,230,143812,116570
11,codecov-io,271176,16292,271176,0,0,0,0,0,0,0
12,coveralls,262919,13987,262919,0,0,0,0,0,0,0
13,dotnet-maestro[bot],233442,60,27719,315,26271,0,25256,37140,857768,609741
14,stale[bot],200684,3026,200684,0,0,0,0,0,0,0
15,depfu[bot],198400,1135,16427,75,34456,0,15691,17024,791615,712593
16,everypoliticianbot,190045,1,69454,0,35757,0,2664,3590,776926,606214
17,codeclimate[bot],178586,1412,79298,0,0,24822,0,0,0,0
18,liferay-continuous-integration,175373,226,174854,0,173,0,0,0,0,0
19,lock[bot],165108,441,165080,14,0,0,0,0,0,0
20,signcla-test-unsigned,155455,2,38728,0,38909,0,0,0,0,0
