,use_language,count,top_actor,activity,part_repo_count
1,TypeScript,16959,yoshi-automation,6063.63,315725
2,Python,15601,xmo-odoo,19684.29,229659
3,Shell,9600,cjxd-bot-test,47362.06,238400
4,JavaScript,8580,guardrails[bot],1811.21,109298
5,Ruby,4286,github-learning-lab[bot],1200485.31,546416
6,Java,4097,liferay-continuous-integration,5515.66,43403
7,PHP,3294,samdark,1220.55,51645
8,Rust,3027,tarcieri,817.55,58392
9,Vue,2977,renovate[bot],158940.45,107740
10,C++,2366,RobTillaart,343.12,24001
11,Go,2212,k8s-ci-robot,4824.08,26077
12,HTML,1441,knative-prow-robot,1343.1,18461
13,C#,1384,nfbot,421.83,17192
14,Swift,1192,compnerd,635.32,16553
15,Kotlin,1016,ZacSweers,491.35,13571
16,TeX,1014,JuliaTagBot,3130.32,25704
17,Scala,962,azure-pipelines[bot],4061.74,12723
18,Smarty,802,jenkins-x-bot-test,4552.67,18042
19,C,801,kloczek,531.03,8665
20,R,795,ChadGoymer,1759.33,15091
