,repo_language,count,top_repo,activity,actor_count
1,JavaScript,15335,gatsbyjs/gatsby,11629.9,547046
2,Python,13610,home-assistant/core,22620.81,492709
3,TypeScript,10523,microsoft/vscode,27191.5,384663
4,Java,6881,elastic/elasticsearch,7055.94,249691
5,Go,4652,kubernetes/kubernetes,19734.97,227205
6,C++,4249,tensorflow/tensorflow,21538.03,246667
7,PHP,3615,magento/magento2,8313.72,140435
8,Ruby,3600,Homebrew/homebrew-core,6958.54,73402
9,C#,3065,dotnet/runtime,13968.97,151297
10,Shell,2785,conda-forge/staged-recipes,5333.6,107639
11,HTML,2689,kubernetes/website,8997.13,73036
12,C,2452,zephyrproject-rtos/zephyr,7594.93,130678
13,Rust,1805,rust-lang/rust,11964.1,62099
14,Vue,1229,tokyo-metropolitan-gov/covid19,2572.71,27071
15,Kotlin,1068,mozilla-mobile/fenix,6024.28,39407
16,Swift,847,corona-warn-app/cwa-app-ios,2112.49,31170
17,Jupyter Notebook,777,jupyterlab/jupyterlab,2054.81,22739
18,R,677,satijalab/seurat,1809.18,19158
19,CSS,667,tailwindcss/tailwindcss,1865.04,16145
20,Scala,667,apache/spark,5260.91,16336
