,repo_language,count,top_repo,activity,actor_count
1,JavaScript,15349,gatsbyjs/gatsby,11619.75,545571
2,Python,13600,home-assistant/core,22531.09,490952
3,TypeScript,10517,microsoft/vscode,27093.54,383274
4,Java,6891,elastic/elasticsearch,7037.37,248973
5,Go,4654,kubernetes/kubernetes,19684.33,226599
6,C++,4241,tensorflow/tensorflow,21471.12,245753
7,PHP,3620,magento/magento2,8291.46,140073
8,Ruby,3608,Homebrew/homebrew-core,6919.52,73282
9,C#,3065,dotnet/runtime,13938.93,150735
10,Shell,2787,conda-forge/staged-recipes,5319.8,107308
11,HTML,2689,kubernetes/website,8979.48,72876
12,C,2448,zephyrproject-rtos/zephyr,7571.61,130262
13,Rust,1805,rust-lang/rust,11922.9,61897
14,Vue,1224,tokyo-metropolitan-gov/covid19,2572.34,26890
15,Kotlin,1062,mozilla-mobile/fenix,6001.7,39225
16,Swift,846,corona-warn-app/cwa-app-ios,2107.37,31075
17,Jupyter Notebook,775,jupyterlab/jupyterlab,2049.83,22630
18,R,675,satijalab/seurat,1807.31,19075
19,CSS,670,tailwindcss/tailwindcss,1857.18,16171
20,Scala,668,apache/spark,5247.72,16308
