,0,1,2
1,3811976,1,0
2,4054800,1,1
3,4344374,1,2
4,4323704,1,3
5,4093239,1,4
6,4672684,1,5
7,5287890,1,6
8,5679403,1,7
9,6095374,1,8
10,6149426,1,9
11,5898972,1,10
12,5874469,1,11
13,6205502,1,12
14,6869089,1,13
15,7262368,1,14
16,7231568,1,15
17,6868800,1,16
18,6635205,1,17
19,6363808,1,18
20,6157327,1,19
21,6008000,1,20
22,5698943,1,21
23,5071596,1,22
24,4560440,1,23
25,4420064,2,0
26,4520387,2,1
27,4709645,2,2
28,4521473,2,3
29,4197676,2,4
30,4489636,2,5
31,5168745,2,6
32,5543780,2,7
33,5981989,2,8
34,6168970,2,9
35,5940721,2,10
36,5792909,2,11
37,6224500,2,12
38,6805350,2,13
39,7260111,2,14
40,7178870,2,15
41,6822167,2,16
42,6622712,2,17
43,6377780,2,18
44,6197261,2,19
45,6032171,2,20
46,5763533,2,21
47,5274035,2,22
48,4755727,2,23
49,4622557,3,0
50,4617404,3,1
51,4738903,3,2
52,4690403,3,3
53,4279354,3,4
54,4487809,3,5
55,5174896,3,6
56,5477201,3,7
57,5946364,3,8
58,6139036,3,9
59,5980132,3,10
60,5767624,3,11
61,6123095,3,12
62,6738701,3,13
63,7118670,3,14
64,6956603,3,15
65,6677130,3,16
66,6492000,3,17
67,6301014,3,18
68,6148261,3,19
69,5920520,3,20
70,5577842,3,21
71,4973649,3,22
72,4570172,3,23
73,4408741,4,0
74,4493706,4,1
75,4660973,4,2
76,4554440,4,3
77,4209746,4,4
78,4361030,4,5
79,5181666,4,6
80,5626208,4,7
81,6046198,4,8
82,6217711,4,9
83,5916446,4,10
84,5838572,4,11
85,6275200,4,12
86,6774320,4,13
87,7162651,4,14
88,7124646,4,15
89,6876413,4,16
90,6605879,4,17
91,6341195,4,18
92,6168044,4,19
93,5871984,4,20
94,5614212,4,21
95,4912243,4,22
96,4488051,4,23
97,4271655,5,0
98,4335505,5,1
99,4507949,5,2
100,4409315,5,3
101,4067838,5,4
102,4217580,5,5
103,4900057,5,6
104,5307962,5,7
105,5788255,5,8
106,5831607,5,9
107,5588205,5,10
108,5313062,5,11
109,5617147,5,12
110,6151847,5,13
111,6524376,5,14
112,6593102,5,15
113,6444717,5,16
114,5991980,5,17
115,5793430,5,18
116,5523588,5,19
117,5401276,5,20
118,5157745,5,21
119,4695959,5,22
120,4161282,5,23
121,3926569,6,0
122,3707403,6,1
123,3703933,6,2
124,3584460,6,3
125,3397188,6,4
126,3369687,6,5
127,3566177,6,6
128,3662681,6,7
129,3833300,6,8
130,3919670,6,9
131,3915119,6,10
132,4006357,6,11
133,4282428,6,12
134,4546617,6,13
135,4809068,6,14
136,4887468,6,15
137,4755383,6,16
138,4724917,6,17
139,4609139,6,18
140,4326091,6,19
141,4170532,6,20
142,3957466,6,21
143,3676501,6,22
144,3379778,6,23
145,3341657,7,0
146,3275589,7,1
147,3350872,7,2
148,3402866,7,3
149,3282221,7,4
150,3334847,7,5
151,3435044,7,6
152,3572933,7,7
153,3731448,7,8
154,3898650,7,9
155,3982226,7,10
156,4092184,7,11
157,4362344,7,12
158,4629896,7,13
159,4957019,7,14
160,5046000,7,15
161,4886243,7,16
162,4860894,7,17
163,4734781,7,18
164,4530315,7,19
165,4407709,7,20
166,4249187,7,21
167,3902920,7,22
168,3595606,7,23
